id,lastpage,randnumber,g1f1,g1f2,g1f3,g2f1,g2f2,g2f3,g3f1,g3f2,g3f3,g4f1,g4f2,g4f3,kontrolle,geschlecht,alter,ki
111,7,1,N,6,1,,,,,,,,,,3,,,
112,7,3,,,,,,,N,5,2,,,,3,,,
113,9,3,,,,,,,Y,6,4,,,,4,1,55,1
114,7,4,,,,,,,,,,Y,6,1,3,,,
115,7,1,N,6,1,,,,,,,,,,3,,,
116,9,4,,,,,,,,,,Y,6,1,4,1,,1
117,9,4,,,,,,,,,,Y,6,1,4,2,38,2
118,7,4,,,,,,,,,,Y,6,3,2,,,
119,7,1,Y,6,3,,,,,,,,,,3,,,
120,9,1,N,5,4,,,,,,,,,,4,1,60,1
121,9,2,,,,N,6,1,,,,,,,4,2,39,2
122,9,3,,,,,,,N,6,3,,,,4,1,,2
123,9,3,,,,,,,Y,6,2,,,,4,2,71,2
124,7,2,,,,Y,4,4,,,,,,,2,,,
125,9,3,,,,,,,N,6,4,,,,4,2,55,1
126,9,1,N,6,1,,,,,,,,,,4,1,73,2
127,7,3,,,,,,,Y,6,1,,,,2,,,
128,7,4,,,,,,,,,,Y,6,2,3,,,
129,7,2,,,,Y,5,4,,,,,,,3,,,
130,9,4,,,,,,,,,,Y,5,1,4,2,46,1
131,9,2,,,,N,6,1,,,,,,,4,2,43,0
132,9,3,,,,,,,N,6,2,,,,4,2,48,2
133,7,4,,,,,,,,,,Y,6,1,3,,,
134,9,2,,,,Y,6,3,,,,,,,4,1,66,1
135,7,3,,,,,,,N,1,1,,,,1,,,
136,9,2,,,,N,6,1,,,,,,,4,1,65,0
137,9,4,,,,,,,,,,Y,6,2,4,1,61,1
138,9,1,N,6,6,,,,,,,,,,4,1,48,0
139,9,2,,,,Y,6,2,,,,,,,4,2,42,2
140,9,2,,,,Y,5,3,,,,,,,4,2,40,1
141,9,2,,,,Y,6,2,,,,,,,4,1,44,1
142,7,3,,,,,,,Y,5,3,,,,3,,,
143,9,4,,,,,,,,,,Y,6,2,4,2,59,1
144,7,4,,,,,,,,,,Y,4,5,2,,,
145,7,4,,,,,,,,,,Y,6,1,3,,,
146,9,4,,,,,,,,,,Y,6,1,4,1,59,2
147,9,4,,,,,,,,,,Y,6,3,4,1,62,1
148,9,2,,,,N,6,1,,,,,,,4,2,30,1
149,9,2,,,,N,6,1,,,,,,,4,1,41,1
150,9,2,,,,N,6,1,,,,,,,4,1,36,2
151,7,2,,,,Y,6,2,,,,,,,3,,,
152,9,3,,,,,,,Y,6,2,,,,4,1,61,1
153,7,1,Y,6,1,,,,,,,,,,3,,,
154,9,4,,,,,,,,,,Y,6,1,4,1,73,1
155,9,4,,,,,,,,,,Y,6,3,4,2,21,2
156,7,1,N,4,1,,,,,,,,,,3,,,
157,7,3,,,,,,,Y,5,5,,,,2,,,
158,7,4,,,,,,,,,,Y,6,3,1,,,
159,7,1,Y,6,6,,,,,,,,,,2,,,
160,9,3,,,,,,,Y,1,6,,,,4,1,60,2
161,9,2,,,,Y,5,2,,,,,,,4,3,53,2
162,9,1,Y,6,4,,,,,,,,,,4,1,27,1
163,9,2,,,,Y,5,3,,,,,,,4,1,63,2
164,9,2,,,,Y,6,1,,,,,,,4,2,38,2
165,9,4,,,,,,,,,,Y,6,1,4,1,66,0
166,9,2,,,,Y,3,3,,,,,,,4,2,61,2
167,5,4,,,,,,,,,,,,,,,,
168,5,4,,,,,,,,,,,,,,,,
169,9,2,,,,N,5,1,,,,,,,4,2,42,2
170,9,2,,,,Y,6,1,,,,,,,4,1,49,1
171,9,3,,,,,,,Y,5,3,,,,4,2,,2
172,9,2,,,,N,3,3,,,,,,,4,2,60,2
173,7,1,N,3,6,,,,,,,,,,3,,,
174,7,3,,,,,,,Y,5,2,,,,2,,,
175,9,1,N,6,1,,,,,,,,,,4,2,39,2
176,7,4,,,,,,,,,,Y,5,1,2,,,
177,7,2,,,,Y,6,1,,,,,,,3,,,
178,7,4,,,,,,,,,,Y,3,4,2,,,
179,9,3,,,,,,,Y,4,1,,,,4,1,22,2
