id,lastpage,randnumber,g1,g2,g3,g4,g5,g6,kontrolle,geschlecht,alter,sterbehilfe
245,12,3,,,Y,,,,5,1,61,0
246,12,4,,,,Y,,,5,1,25,0
247,12,5,,,,,Y,,5,2,65,0
248,12,6,,,,,,Y,5,2,38,1
249,12,1,Y,,,,,,5,2,72,1
250,12,4,,,,N,,,5,1,40,0
251,12,6,,,,,,Y,5,2,43,1
252,12,4,,,,Y,,,5,2,37,0
253,12,5,,,,,Y,,5,2,44,0
254,12,4,,,,Y,,,5,2,44,0
255,12,1,Y,,,,,,5,2,47,1
256,12,3,,,Y,,,,5,1,60,1
257,12,5,,,,,Y,,5,2,57,0
258,12,6,,,,,,Y,5,2,49,1
259,12,1,Y,,,,,,5,1,44,0
260,12,4,,,,Y,,,5,2,32,0
261,12,2,,Y,,,,,5,2,38,1
262,12,4,,,,Y,,,5,2,32,1
263,12,4,,,,N,,,5,1,54,1
264,12,4,,,,Y,,,5,1,40,1
265,12,1,Y,,,,,,5,2,35,0
266,12,6,,,,,,N,5,1,34,0
267,4,3,,,,,,,,,,
